sample,spot,cage,sample_id,apo_sym,date_deployed,date_collected,treatment,Notes,Present_in_lab,survival_6.30.23,survival_7.5.23,survival_7.12.23,survival_7.19.23,survival_8.1.23,survival_8.9.23,survival_8.14.23,survival_8.23.23,survival_8.28.23,survival_9.6.23,survival_9.13.23,survival_9.20.23,survival_9.29.23,survival_10.3.23,survival_10.10.23,end_status,date_mortality,days_alive
220,A2,G5,G5-A2-220,APO,2023.06.23,2023.10.09,control,,y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Alive,2023.10.9,109
117,A3,G5,G5-A3-117,APO,2023.06.21,2023.10.09,control,,y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Alive,2023.10.9,111
14,A4,G5,G5-A4-14,APO,2023.06.21,2023.10.09,control,,y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Alive,2023.10.9,110
127,B1,G5,G5-B1-127,APO,2023.06.21,2023.10.09,control,,y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Alive,2023.10.9,111
186,B2,G5,G5-B2-186,APO,2023.06.21,2023.10.09,control,,y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Alive,2023.10.9,111
19,B3,G5,G5-B3-19,APO,2023.06.21,2023.10.09,control,,y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Alive,2023.10.9,111
67,B4,G5,G5-B4-67,APO,2023.06.21,2023.10.09,control,,y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Alive,2023.10.9,111
49,C1,G5,G5-C1-49,SYM,2023.06.21,2023.10.09,control,,y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Alive,2023.10.9,111
221,C2,G5,G5-C2-221,SYM,2023.06.21,2023.10.09,control,,y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Alive,2023.10.9,111
56,C3,G5,G5-C3-56,SYM,2023.06.21,2023.10.09,control,,y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Alive,2023.10.9,111
41,C4,G5,G5-C4-41,SYM,2023.06.21,2023.10.09,control,,y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Alive,2023.10.9,111
99,D1,G5,G5-D1-99,SYM,2023.06.21,2023.10.09,control,,y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Alive,2023.10.9,111
